id,sport,original_sport,confidence,conf_gap
699447,Smučarski skoki,Smučarski skoki,0.8972,0.0005
777770,Drugo,Smučarski skoki,0.2307,0.0005
717893,Drugo,Smučarski skoki,0.3225,0.0006
701025,Drugo,Smučarski skoki,0.2556,0.0006
756705,Drugo,Smučarski skoki,0.3514,0.0007
741000,Smučarski skoki,Smučarski skoki,0.65,0.0008
750372,Športno plezanje,Smučarski skoki,0.5277,0.0009
701148,Smučarski skoki,Smučarski skoki,0.6438,0.0009
702554,Smučarski skoki,Smučarski skoki,0.5655,0.001
739294,Smučarski skoki,Smučarski skoki,0.4189,0.0011
769084,Smučarski skoki,Smučarski skoki,0.8023,0.0011
701273,Smučarski skoki,Smučarski skoki,0.831,0.0011
769075,Smučarski skoki,Smučarski skoki,0.318,0.0012
670486,Športno plezanje,Smučarski skoki,0.7272,0.0013
697207,Smučarski skoki,Smučarski skoki,0.8223,0.0015
720759,Kolesarstvo,Smučarski skoki,0.3311,0.0015
765726,Smučarski skoki,Smučarski skoki,0.8958,0.0017
702453,Smučarski skoki,Smučarski skoki,0.8828,0.0017
729127,Smučarski skoki,Smučarski skoki,0.7392,0.0017
766370,Smučarski skoki,Smučarski skoki,0.4058,0.0017
702650,Smučarski skoki,Smučarski skoki,0.6259,0.0018
727556,Smučarski skoki,Smučarski skoki,0.6904,0.0019
758144,Hokej na ledu,Smučarski skoki,0.2176,0.002
731872,Smučarski skoki,Smučarski skoki,0.8508,0.0022
734520,Smučarski skoki,Smučarski skoki,0.8472,0.0022
701022,Drugo,Smučarski skoki,0.1834,0.0025
777784,Drugo,Smučarski skoki,0.2085,0.0025
767112,Smučarski skoki,Smučarski skoki,0.7789,0.0026
670683,Tenis,Smučarski skoki,0.1901,0.0027
736744,Smučarski skoki,Smučarski skoki,0.476,0.0028
730600,Smučarski skoki,Smučarski skoki,0.6022,0.0028
775586,Smučarski skoki,Smučarski skoki,0.6283,0.0028
736551,Smučarski skoki,Smučarski skoki,0.8819,0.0029
775414,Smučarski skoki,Smučarski skoki,0.8822,0.0029
768412,Smučarski skoki,Smučarski skoki,0.3727,0.0029
672243,Športno plezanje,Smučarski skoki,0.4565,0.003
726246,Tenis,Smučarski skoki,0.2175,0.0033
697160,Smučarski skoki,Smučarski skoki,0.8203,0.0034
723375,Športno plezanje,Smučarski skoki,0.2344,0.0034
771880,Smučarski skoki,Smučarski skoki,0.7927,0.0034
